	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGrocs_with_names-2dock_mol69	-19.265200	-34.376675	15.111475	15.111475
2hoj_LIGrocs_with_names-2dock_mol70	-42.956993	-39.996956	-2.960035	-2.960035
2hoj_LIGrocs_with_names-2dock_mol71	-41.533581	-39.164795	-2.368785	-2.368785
2hoj_LIGrocs_with_names-2dock_mol72	-17.566681	-36.575645	19.008965	19.008965
2hoj_LIGrocs_with_names-2dock_mol73	-38.645214	-36.843227	-1.801987	-1.801987
2hoj_LIGrocs_with_names-2dock_mol74	-49.924194	-38.167133	-11.757063	-11.757063
2hoj_LIGrocs_with_names-2dock_mol75	-76.654892	-42.905125	-33.749763	-33.749763
2hoj_LIGrocs_with_names-2dock_mol76	-22.104641	-40.262764	18.158123	18.158123
2hoj_LIGrocs_with_names-2dock_mol77	-16.467167	-34.804787	18.337620	18.337620
2hoj_LIGrocs_with_names-2dock_mol78	-15.232183	-37.072094	21.839911	21.839911
2hoj_LIGrocs_with_names-2dock_mol79	-21.023108	-34.256489	13.233381	13.233381
2hoj_LIGrocs_with_names-2dock_mol80	6.324860	-40.999439	47.324299	47.324299
2hoj_LIGrocs_with_names-2dock_mol81	-20.012001	-38.640656	18.628654	18.628654
2hoj_LIGrocs_with_names-2dock_mol82	6.745399	-38.094929	44.840328	44.840328
2hoj_LIGrocs_with_names-2dock_mol83	-22.508751	-44.077374	21.568623	21.568623
2hoj_LIGrocs_with_names-2dock_mol84	-42.951645	-42.788952	-0.162692	-0.162692
2hoj_LIGrocs_with_names-2dock_mol85	-0.318317	-48.544769	48.226452	48.226452
2hoj_LIGrocs_with_names-2dock_mol86	-17.728575	-40.259441	22.530867	22.530867
2hoj_LIGrocs_with_names-2dock_mol87	7.639553	-36.560879	44.200432	44.200432
2hoj_LIGrocs_with_names-2dock_mol88	-16.981426	-40.794254	23.812828	23.812828
2hoj_LIGrocs_with_names-2dock_mol89	-17.767555	-39.251335	21.483780	21.483780
2hoj_LIGrocs_with_names-2dock_mol90	-12.678602	-36.364697	23.686094	23.686094
2hoj_LIGrocs_with_names-2dock_mol91	-24.468092	-33.858086	9.389994	9.389994
2hoj_LIGrocs_with_names-2dock_mol92	-15.633465	-34.643948	19.010483	19.010483
2hoj_LIGrocs_with_names-2dock_mol93	-16.211885	-37.580757	21.368872	21.368872
2hoj_LIGrocs_with_names-2dock_mol94	-13.726936	-40.287743	26.560806	26.560806
2hoj_LIGrocs_with_names-2dock_mol95	-0.409985	-41.755455	41.345470	41.345470
2hoj_LIGrocs_with_names-2dock_mol96	-13.640005	-34.458752	20.818747	20.818747
2hoj_LIGrocs_with_names-2dock_mol97	-14.414837	-35.549744	21.134907	21.134907
2hoj_LIGrocs_with_names-2dock_mol98	1.213993	-40.648903	41.862896	41.862896
2hoj_LIGrocs_with_names-2dock_mol99	1.728230	-40.329823	42.058052	42.058052
2hoj_LIGrocs_with_names-2dock_mol100	-18.898001	-45.943665	27.045664	27.045664
2hoj_LIGrocs_with_names-2dock_mol101	-21.437778	-45.266560	23.828781	23.828781
2hoj_LIGrocs_with_names-2dock_mol102	-20.398216	-33.298271	12.900056	12.900056
2hoj_LIGrocs_with_names-2dock_mol103	12.915602	-31.784620	44.700222	44.700222
2hoj_LIGrocs_with_names-2dock_mol104	-47.297901	-38.106785	-9.191115	-9.191115
2hoj_LIGrocs_with_names-2dock_mol105	-47.556259	-33.129051	-14.427208	-14.427208
2hoj_LIGrocs_with_names-2dock_mol106	-19.341042	-37.005081	17.664040	17.664040
2hoj_LIGrocs_with_names-2dock_mol107	-43.590134	-35.720642	-7.869492	-7.869492
2hoj_LIGrocs_with_names-2dock_mol108	4.209850	-44.141113	48.350964	48.350964
2hoj_LIGrocs_with_names-2dock_mol109	-41.793282	-36.574802	-5.218478	-5.218478
2hoj_LIGrocs_with_names-2dock_mol110	-11.723194	-36.459557	24.736362	24.736362
2hoj_LIGrocs_with_names-2dock_mol111	12.577038	-33.183666	45.760704	45.760704
2hoj_LIGrocs_with_names-2dock_mol112	11.473454	-30.202618	41.676071	41.676071
2hoj_LIGrocs_with_names-2dock_mol113	-45.927841	-45.335197	-0.592642	-0.592642
2hoj_LIGrocs_with_names-2dock_mol114	-14.331608	-36.203548	21.871941	21.871941
2hoj_LIGrocs_with_names-2dock_mol115	-46.358318	-38.015495	-8.342823	-8.342823
2hoj_LIGrocs_with_names-2dock_mol116	-68.340408	-32.041344	-36.299061	-36.299061
2hoj_LIGrocs_with_names-2dock_mol117	-16.501827	-36.251049	19.749222	19.749222
2hoj_LIGrocs_with_names-2dock_mol118	-72.484398	-35.592297	-36.892101	-36.892101
2hoj_LIGrocs_with_names-2dock_mol119	-12.726799	-34.946068	22.219269	22.219269
2hoj_LIGrocs_with_names-2dock_mol120	0.143200	-45.827274	45.970474	45.970474
