	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol77	-21.538479	-40.136288	18.597809	15.558020
2hoj_LIGfilip-balloon_mol78	-22.001925	-39.785938	17.784014	6.339074
2hoj_LIGfilip-balloon_mol79	-32.323696	-40.316036	7.992340	6.898178
2hoj_LIGfilip-balloon_mol80	0.029789	-41.740494	41.770283	12.240286
2hoj_LIGfilip-balloon_mol81	-22.864935	-42.624958	19.760023	12.172389
2hoj_LIGfilip-balloon_mol82	3.516224	-41.039272	44.555496	8.236960
2hoj_LIGfilip-balloon_mol83	-27.523838	-45.865685	18.341846	11.060230
2hoj_LIGfilip-balloon_mol84	-46.601540	-44.733650	-1.867889	8.894635
2hoj_LIGfilip-balloon_mol85	-9.907661	-43.776749	33.869087	8.953953
2hoj_LIGfilip-balloon_mol86	-20.570370	-38.662346	18.091976	13.442563
2hoj_LIGfilip-balloon_mol87	-0.455956	-38.652912	38.196957	3.446421
2hoj_LIGfilip-balloon_mol88	-20.896606	-42.620674	21.724068	4.973976
2hoj_LIGfilip-balloon_mol89	-23.311031	-38.650879	15.339848	9.705991
2hoj_LIGfilip-balloon_mol90	-14.507263	-37.660442	23.153179	3.780835
2hoj_LIGfilip-balloon_mol91	-34.751896	-34.920288	0.168391	2.297108
2hoj_LIGfilip-balloon_mol92	-17.801552	-36.042740	18.241188	11.420888
2hoj_LIGfilip-balloon_mol93	-19.667437	-38.405621	18.738184	8.767103
2hoj_LIGfilip-balloon_mol94	-21.369507	-41.053143	19.683636	7.550377
2hoj_LIGfilip-balloon_mol95	-3.795124	-47.746960	43.951836	5.984165
2hoj_LIGfilip-balloon_mol96	-27.911852	-51.228001	23.316149	11.428508
2hoj_LIGfilip-balloon_mol97	-22.505123	-39.949383	17.444260	4.454970
2hoj_LIGfilip-balloon_mol98	-5.564297	-53.072426	47.508129	14.717288
2hoj_LIGfilip-balloon_mol99	-1.349854	-37.018021	35.668167	2.637236
2hoj_LIGfilip-balloon_mol100	-26.164961	-44.595314	18.430353	8.169636
