	Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol77	-13.756779	-33.707409	19.950630	19.950630
2hoj_LIGfilip-balloon_mol78	-14.276846	-29.039143	14.762297	14.762297
2hoj_LIGfilip-balloon_mol79	-18.979757	-31.760420	12.780663	12.780663
2hoj_LIGfilip-balloon_mol80	4.506027	-36.651997	41.158024	41.158024
2hoj_LIGfilip-balloon_mol81	-20.347994	-42.846745	22.498751	22.498751
2hoj_LIGfilip-balloon_mol82	7.599251	-39.128853	46.728104	46.728104
2hoj_LIGfilip-balloon_mol83	-23.288078	-50.342056	27.053978	27.053978
2hoj_LIGfilip-balloon_mol84	-44.051010	-43.501488	-0.549524	-0.549524
2hoj_LIGfilip-balloon_mol85	2.684765	-40.971073	43.655838	43.655838
2hoj_LIGfilip-balloon_mol86	-16.820873	-39.466866	22.645992	22.645992
2hoj_LIGfilip-balloon_mol87	7.995155	-37.627407	45.622562	45.622562
2hoj_LIGfilip-balloon_mol88	-15.614574	-38.516834	22.902260	22.902260
2hoj_LIGfilip-balloon_mol89	-19.629511	-42.165871	22.536360	22.536360
2hoj_LIGfilip-balloon_mol90	-11.038050	-40.841881	29.803831	29.803831
2hoj_LIGfilip-balloon_mol91	-21.277622	-31.104635	9.827014	9.827014
2hoj_LIGfilip-balloon_mol92	-12.468599	-32.673149	20.204550	20.204550
2hoj_LIGfilip-balloon_mol93	-14.776264	-37.119473	22.343208	22.343208
2hoj_LIGfilip-balloon_mol94	-16.147608	-35.865227	19.717619	19.717619
2hoj_LIGfilip-balloon_mol95	-2.954918	-49.386600	46.431683	46.431683
2hoj_LIGfilip-balloon_mol96	-17.196205	-42.907742	25.711536	25.711536
2hoj_LIGfilip-balloon_mol97	-16.716953	-38.568024	21.851070	21.851070
2hoj_LIGfilip-balloon_mol98	-0.463039	-45.046654	44.583614	44.583614
2hoj_LIGfilip-balloon_mol99	2.501507	-35.791317	38.292824	38.292824
2hoj_LIGfilip-balloon_mol100	-22.862106	-41.275242	18.413136	18.413136
2hoj_LIGfilip-balloon_mol101	-23.704397	-38.863041	15.158644	15.158644
2hoj_LIGfilip-balloon_mol102	-23.769913	-43.413418	19.643505	19.643505
2hoj_LIGfilip-balloon_mol103	10.442982	-34.588398	45.031380	45.031380
2hoj_LIGfilip-balloon_mol104	-44.424450	-43.670006	-0.754443	-0.754443
2hoj_LIGfilip-balloon_mol105	-50.408340	-43.668991	-6.739349	-6.739349
2hoj_LIGfilip-balloon_mol106	-19.366571	-37.154938	17.788366	17.788366
2hoj_LIGfilip-balloon_mol107	-43.077209	-32.583797	-10.493411	-10.493411
2hoj_LIGfilip-balloon_mol108	0.574406	-44.761776	45.336182	45.336182
2hoj_LIGfilip-balloon_mol109	-41.307617	-30.383402	-10.924217	-10.924217
2hoj_LIGfilip-balloon_mol110	-14.640705	-36.384495	21.743790	21.743790
2hoj_LIGfilip-balloon_mol111	10.845516	-31.542904	42.388420	42.388420
2hoj_LIGfilip-balloon_mol112	9.100292	-39.144016	48.244308	48.244308
2hoj_LIGfilip-balloon_mol113	-44.238350	-44.212643	-0.025705	-0.025705
2hoj_LIGfilip-balloon_mol114	-18.564112	-38.736645	20.172533	20.172533
2hoj_LIGfilip-balloon_mol115	-40.182194	-32.974785	-7.207407	-7.207407
2hoj_LIGfilip-balloon_mol116	-71.240700	-36.461525	-34.779175	-34.779175
2hoj_LIGfilip-balloon_mol117	-16.643890	-37.165756	20.521866	20.521866
2hoj_LIGfilip-balloon_mol118	-77.255936	-37.510300	-39.745636	-39.745636
2hoj_LIGfilip-balloon_mol119	-13.703144	-33.581692	19.878548	19.878548
2hoj_LIGfilip-balloon_mol120	5.150360	-37.816853	42.967213	42.967213
2hoj_LIGfilip-balloon_mol121	-46.935497	-36.287415	-10.648084	-10.648084
2hoj_LIGfilip-balloon_mol122	5.152466	-46.650024	51.802490	51.802490
2hoj_LIGfilip-balloon_mol123	7.130413	-30.539780	37.670193	37.670193
2hoj_LIGfilip-balloon_mol124	-15.650270	-38.112431	22.462160	22.462160
2hoj_LIGfilip-balloon_mol125	-41.870270	-30.366602	-11.503670	-11.503670
2hoj_LIGfilip-balloon_mol126	0.261372	-41.930031	42.191402	42.191402
2hoj_LIGfilip-balloon_mol127	-23.627781	-44.321934	20.694153	20.694153
2hoj_LIGfilip-balloon_mol128	-16.764458	-36.983929	20.219471	20.219471
2hoj_LIGfilip-balloon_mol129	5.470346	-27.387575	32.857922	32.857922
2hoj_LIGfilip-balloon_mol130	-14.401291	-33.822357	19.421066	19.421066
2hoj_LIGfilip-balloon_mol131	1.365746	-44.121941	45.487686	45.487686
2hoj_LIGfilip-balloon_mol132	9.907778	-27.130579	37.038357	37.038357
